,Type of territory,Borough / Linked city,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?,label
1261,2,7,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,2,0,2,0,1,2
1415,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
598,1,25,1,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,4,3,5,1,0
1277,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
800,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
274,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
265,1,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
728,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,4,3,5,1,1
1092,1,20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,2,4,6,2,2
1482,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,3,4,3,0,2,6,1,1
52,1,11,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,2
1801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
920,1,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1291,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,0,2,6,1,1
712,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
514,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,2,0,3,3,4,3,5,1,1
1664,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,4,3,4,1,5,4,1,1,2
1264,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,4,3,3,5,3,1,1
549,1,22,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,2,5,3,1,2
1717,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,1,4,1,0,2
729,1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,1
1595,1,4,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,0,2,6,1,1
889,2,14,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
753,2,19,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,1,4,3,5,1,1
1309,1,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,5,4,6,1,1
159,1,26,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
179,1,21,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,2,1,2,0,4,3,5,1,0
1813,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
983,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,4,2,3,4,4,3,5,2,1
1167,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,4,2,3,5,1,1,1
1316,1,24,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1294,1,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
107,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,0,3,1,4,3,5,1,1
370,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
480,1,13,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,2,0,4,3,5,1,1
895,1,9,1,1,1,1,0,1,1,1,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
178,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,0,4,3,5,1,1
48,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,3,3,4,3,5,1,0
616,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,4,3,5,1,1
988,1,15,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,2,1
572,1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,4,3,5,1,2
1100,2,27,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1563,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
680,1,4,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,4,3,5,1,1
276,1,26,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,2,1,4,3,5,1,1
42,1,11,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1308,1,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,0,2,3,1,2
1382,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1321,1,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,6,1,1
1719,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
89,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
50,1,21,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,1,3,4,3,5,1,2
249,2,27,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1120,1,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,0,2,6,1,1
670,2,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,4,3,5,1,1
393,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,0,3,0,4,3,5,1,1
713,1,22,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,3,5,1,1
387,1,11,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,2,4,0,3,0,4,3,5,1,1
404,1,11,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,4,0,3,3,4,3,5,1,2
1000,1,15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,3,3,4,3,5,2,1
1319,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,2
1160,1,11,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,3,3,4,3,3,5,3,1,1
1137,1,13,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,3,4,3,0,2,1,1,2
170,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
1132,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,3,1,3,1,2
1577,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1242,1,4,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,3,3,4,3,2,4,6,2,1
1182,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1703,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,3,4,0,3,5,1,1,2
1739,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,0,2,3,1,1
714,1,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
612,1,4,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,6,3,4,0,4,3,5,1,1
379,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,1
677,1,22,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,4,3,5,1,1
959,1,22,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,0,4,3,5,1,1
1873,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,3,5,4,6,1,3
824,1,25,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,4,3,5,1,1
21,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,3,4,3,5,1,2
54,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,4,0,3,2,4,3,5,1,2
524,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,3,5,1,1
1370,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,2,3,5,0,1,1
1234,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
342,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,2,1,3,4,3,5,1,2
461,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
488,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,1
228,1,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,2,4,3,5,0,2
1880,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,1,4,1,1,1
622,1,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
202,1,26,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,2,3,4,0,4,3,5,1,1
580,2,19,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,2,2,3,0,4,3,5,1,2
1876,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,1,4,1,1,1
1782,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,1,0,2,0,1,1
193,1,24,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,1,2,4,4,3,5,1,0
1866,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,1,2,2
867,2,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,2
125,1,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
1541,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,0
1669,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,0,3,4,0,1,1
693,1,9,1,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2,2,3,3,4,3,5,1,1
696,1,23,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,2,2,4,3,5,1,0
1134,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
764,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,4,3,5,1,1
1198,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,3,1,2
59,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,0
1444,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,6,1,1
1470,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,0,2,0,1,1
1469,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,1,4,3,1,1
1128,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,0,1,1
1376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,4,3,1,4,3,1,1
77,1,11,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,6,3,4,3,4,3,5,1,1
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
638,1,22,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,2,1,2,3,4,3,5,1,1
489,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,5,0,1,3,4,3,5,1,1
765,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,0,3,0,4,3,5,1,1
1481,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,2,3,4,3,1,4,1,1,2
142,1,11,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,2
1430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1377,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,1,2,5,0,1,2
1496,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
81,1,11,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,0
1745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,5,4,6,1,1
776,1,9,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,2,6,0,3,1,4,3,5,1,1
182,1,26,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,0
424,1,26,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
1166,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,4,5,4,6,1,1
1456,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,1,4,1,1,1
360,1,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,0,3,3,4,3,5,1,2
79,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,4,3,5,1,0
1324,1,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,3,4,3,2,5,3,1,2
479,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,1,4,3,5,1,0
1140,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,3,1,1
661,1,23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,1,2,1,4,3,5,1,2
1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,4,1,1,2
138,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
810,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
340,1,26,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,4,3,5,1,1
1230,1,11,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,2,3,3,4,3,3,1,3,1,2
1597,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,0,2,3,1,2
1506,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,2
120,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,3,4,3,5,1,1
820,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1262,1,23,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
1591,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,3,4,2,1,4,0,0,2
380,1,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,2
1716,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1572,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
224,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,2,4,3,5,1,2
521,1,23,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,1,2,1,4,3,5,1,1
1297,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,0,2,0,1,2
623,1,23,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,1,2,2,4,3,5,1,1
145,1,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
244,2,27,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1734,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1180,1,12,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
162,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,0
905,2,5,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
856,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,4,3,5,2,1
1192,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,3,4,6,1,1
41,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,2,1,1,4,3,5,0,2
1066,1,23,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
146,1,26,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,2,2,4,3,5,1,1
315,1,12,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,3,4,3,5,1,1
603,1,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,3,4,3,5,1,1
1642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,1,1,4,1,1,1
1580,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
659,1,4,1,1,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1075,1,20,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,2,4,2,3,3,4,3,5,1,1
926,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1253,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
919,1,4,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
306,1,26,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,1
1067,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
907,1,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,4,3,5,1,1
1069,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,4,3,5,1,1
1274,1,21,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1644,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,2
97,1,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,3,4,4,3,5,1,0
443,1,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,3,5,1,1
778,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
414,1,17,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,2,0,3,0,4,3,5,1,2
1787,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,2,1,4,1,1,1
770,1,25,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,3,2,3,3,4,3,5,1,2
496,1,4,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,2,4,0,3,2,4,3,5,1,1
1124,1,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,3,4,0,3,5,0,1,1
950,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
285,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,0,4,3,5,1,1
1005,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,3,4,3,1,4,1,1,1
1090,1,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
846,1,18,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1301,1,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
313,1,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,4,4,4,3,5,1,0
812,2,3,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2,1,2,0,4,3,5,1,1
761,1,20,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1,2,1,4,3,5,1,1
335,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,3,5,1,1
116,1,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,4,3,5,1,2
704,1,20,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,4,0,1,3,4,3,5,1,1
270,1,26,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,1,2,0,4,3,5,1,0
552,2,7,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,2,0,4,3,5,1,1
1368,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,3,4,2,0,2,3,1,1
634,2,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
330,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,3,0,3,3,4,3,5,1,1
526,1,22,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,5,0,3,0,4,3,5,1,1
734,2,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
1195,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
321,1,26,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,5,1,2,3,4,3,5,1,0
1867,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,1,4,1,1,1
1188,1,11,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,3,4,0,0,2,1,0,1
1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,4,1,1,1
457,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
710,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,2,3,3,4,3,5,1,1
1036,1,15,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,0
1432,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,2,1,1,1,1
1844,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
433,1,26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,4,3,5,1,2
9,1,11,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1863,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
1016,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
123,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,2,0,1,4,3,5,1,2
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,2,0,2,1,1,1
