,Answer ID,Date,Phase,Type of territory,Borough / Linked city,Trade status,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?
678,679,2020-06-10,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,Oui,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
679,680,2020-06-10,2,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
680,681,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
681,682,2020-06-10,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,,Oui,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
682,683,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,Oui,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
683,684,2020-06-10,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
684,685,2020-06-10,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
685,686,2020-06-10,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
686,687,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
687,688,2020-06-10,2,Ville liée,Pointe-Claire,Ouvert,Oui,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
688,689,2020-06-10,2,Ville liée,Dorval,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
689,690,2020-06-10,2,Arrondissement,Saint-Léonard,Ouvert,,,,Oui,,,Oui,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
690,691,2020-06-10,2,Arrondissement,Saint-Léonard,Fermé,Oui,,,,,,,,,,Oui,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
691,692,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
692,693,2020-06-10,2,Arrondissement,Saint-Laurent,Ouvert,Oui,,Oui,,,Oui,,,,,,Oui,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
693,694,2020-06-10,2,Arrondissement,LaSalle,Ouvert,Oui,,Oui,,,Oui,,,Oui,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
694,695,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
695,696,2020-06-11,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Non,Sans réponse,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
696,697,2020-06-11,2,Arrondissement,Saint-Léonard,Fermé,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
697,698,2020-06-11,2,Arrondissement,Saint-Laurent,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
698,699,2020-06-11,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
699,700,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
700,701,2020-06-11,2,Arrondissement,Saint-Laurent,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
701,702,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
702,703,2020-06-11,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
703,704,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
704,705,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,Oui,,,,Oui,Sans réponse,,,,,Oui,Site transactionnel,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
705,706,2020-06-11,2,Arrondissement,Pierrefonds-Roxboro,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
706,707,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
707,708,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
708,709,2020-06-11,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
709,710,2020-06-11,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Réponse inconnue,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
710,711,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,Oui,,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
711,712,2020-06-12,2,Arrondissement,Pierrefonds-Roxboro,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
712,713,2020-06-12,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
713,714,2020-06-12,2,Arrondissement,Saint-Laurent,Ouvert,Oui,,,,,,,,,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
714,715,2020-06-12,2,Arrondissement,LaSalle,Fermé,Oui,Oui,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
715,716,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,Oui,Oui,,,,Oui,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
716,717,2020-06-12,2,Arrondissement,Saint-Léonard,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
717,718,2020-06-12,2,Ville liée,Dorval,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
718,719,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
719,720,2020-06-12,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
720,721,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
721,722,2020-06-12,2,Arrondissement,Ville-Marie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
722,723,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
723,724,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
724,725,2020-06-12,2,Arrondissement,Saint-Laurent,Fermé,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
725,726,2020-06-12,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
726,727,2020-06-12,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,Oui,,,,,,,,,Oui,Non,,,,,Non,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
727,728,2020-06-12,2,Ville liée,Mont-Royal,Fermé,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
728,729,2020-06-12,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,Oui,Non,Non,,,,,Non,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
729,730,2020-06-15,2,Arrondissement,Montréal-Nord,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
730,731,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
731,732,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
732,733,2020-06-15,2,Arrondissement,Anjou,Ouvert,Oui,,Oui,,Oui,,Oui,,,,,Oui,Oui,,,Oui,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
733,734,2020-06-15,2,Arrondissement,Anjou,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
734,735,2020-06-15,2,Ville liée,Kirkland,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
735,736,2020-06-15,2,Arrondissement,Saint-Laurent,Ouvert,,,,,,,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
736,737,2020-06-15,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
737,738,2020-06-15,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
738,739,2020-06-15,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
739,740,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,Oui,,,,,Non,Oui,Oui,Oui,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
740,741,2020-06-15,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
741,742,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
742,743,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Oui,Je l'utilise déjà,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
743,744,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
744,745,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
745,746,2020-06-15,2,Arrondissement,Ville-Marie,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
746,747,2020-06-15,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
747,748,2020-06-15,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
748,749,2020-06-15,2,Arrondissement,Ville-Marie,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
749,750,2020-06-15,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
750,751,2020-06-15,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
751,752,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,Oui,Oui,Oui,,,Oui,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
752,753,2020-06-16,2,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
753,754,2020-06-16,2,Ville liée,Pointe-Claire,Ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
754,755,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
755,756,2020-06-16,2,Arrondissement,Montréal-Nord,Statut inconnu,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
756,757,2020-06-16,2,Arrondissement,Saint-Léonard,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
757,758,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,,,,,Oui,Oui,,,Oui,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
758,759,2020-06-16,2,Ville liée,Kirkland,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
759,760,2020-06-16,2,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
760,761,2020-06-16,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Fermé,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
761,762,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,Oui,,,Oui,,,Oui,,Oui,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
762,763,2020-06-16,2,Ville liée,Montréal-Ouest,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
763,764,2020-06-16,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,Oui,Oui,,Oui,Oui,,Oui,,Oui,Non,Sans réponse,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
764,765,2020-06-16,2,Arrondissement,Montréal-Nord,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
765,766,2020-06-16,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,Oui,Oui,,,,Oui,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
766,767,2020-06-16,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
